kiem_tra,trang_thai,chi_tiet
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019047619047619048, F1 trực tiếp=0.0019047619047619048"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316150081566068, 0.3333333333333333, 0.0009551098376313276, 0.9998599243591539, 0.00014007564084605686, 0.0019047619047619048, 0.6958512993387037, 0.00019575856443719412, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019065776930409911, F1 trực tiếp=0.0019065776930409914"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.5, 0.0009551098376313276, 0.999929962179577, 7.003782042302843e-05, 0.0019065776930409911, 0.6958512993387037, 0.0001305057096247961, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019065776930409911, F1 trực tiếp=0.0019065776930409914"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.5, 0.0009551098376313276, 0.999929962179577, 7.003782042302843e-05, 0.0019065776930409911, 0.6958512993387037, 0.0001305057096247961, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019065776930409911, F1 trực tiếp=0.0019065776930409914"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.5, 0.0009551098376313276, 0.999929962179577, 7.003782042302843e-05, 0.0019065776930409911, 0.6958512993387037, 0.0001305057096247961, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019065776930409911, F1 trực tiếp=0.0019065776930409914"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.5, 0.0009551098376313276, 0.999929962179577, 7.003782042302843e-05, 0.0019065776930409911, 0.6958512993387037, 0.0001305057096247961, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019065776930409911, F1 trực tiếp=0.0019065776930409914"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.5, 0.0009551098376313276, 0.999929962179577, 7.003782042302843e-05, 0.0019065776930409911, 0.6958512993387037, 0.0001305057096247961, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.0019065776930409911, F1 trực tiếp=0.0019065776930409914"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.5, 0.0009551098376313276, 0.999929962179577, 7.003782042302843e-05, 0.0019065776930409911, 0.6958512993387037, 0.0001305057096247961, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0, F1 trực tiếp=0"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9316802610114192, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6845017608457954, 0.0, 0.06831973898858075]"
Có common threshold thỏa alert rate của cả hai model,PASS,số candidate hợp lệ=40
F1 theo hai công thức khớp nhau,PASS,"F1=0.20355361596009977, F1 trực tiếp=0.20355361596009974"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.666557911908646, 0.12162413857329112, 0.623686723973257, 0.6697016388849979, 0.3302983611150021, 0.20355361596009977, 0.6958512993387037, 0.3503425774877651, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.19780219780219777, F1 trực tiếp=0.19780219780219779"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.666557911908646, 0.11835431147848957, 0.6017191977077364, 0.6713125087547276, 0.32868749124527247, 0.19780219780219777, 0.6845017608457954, 0.34734094616639477, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20476947535771065, F1 trực tiếp=0.20476947535771065"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.673605220228385, 0.12283044058744993, 0.6150907354345749, 0.6778960638744922, 0.32210393612550775, 0.20476947535771065, 0.6958512993387037, 0.34212071778140296, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20327421555252387, F1 trực tiếp=0.20327421555252387"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.6951386623164764, 0.12372846169815238, 0.5692454632282713, 0.704370359994397, 0.29562964000560304, 0.20327421555252387, 0.6845017608457954, 0.3143230016313214, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20557717250324253, F1 trực tiếp=0.20557717250324253"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.6802610114192496, 0.12380394454208163, 0.6055396370582617, 0.6857402997618715, 0.3142597002381286, 0.20557717250324253, 0.6958512993387037, 0.3341598694942904, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20481273747059892, F1 trực tiếp=0.20481273747059889"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7132137030995106, 0.1263392857142857, 0.5405921680993314, 0.7258719708642667, 0.2741280291357333, 0.20481273747059892, 0.6845017608457954, 0.2923327895595432, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20667885030736002, F1 trực tiếp=0.20667885030736002"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.6884176182707994, 0.1251005631536605, 0.5940783190066857, 0.6953354811598264, 0.3046645188401737, 0.20667885030736002, 0.6958512993387037, 0.3244371941272431, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20653398422831395, F1 trực tiếp=0.20653398422831393"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7242414355628058, 0.12853470437017994, 0.5253104106972302, 0.7388289676425269, 0.261171032357473, 0.20653398422831395, 0.6845017608457954, 0.27921696574225124, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20695504664970316, F1 trực tiếp=0.20695504664970313"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.6949429037520392, 0.12582508250825084, 0.5826170009551098, 0.7031797170472055, 0.2968202829527945, 0.20695504664970316, 0.6958512993387037, 0.3163458401305057, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21042319749216298, F1 trực tiếp=0.21042319749216301"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7370309951060359, 0.1323638156273108, 0.5128939828080229, 0.7534668721109399, 0.2465331278890601, 0.21042319749216298, 0.6845017608457954, 0.26473083197389885, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20694420452582479, F1 trực tiếp=0.20694420452582485"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7004241435562806, 0.1263180092787853, 0.5721107927411653, 0.7098333099873932, 0.2901666900126068, 0.2069442045258248, 0.6958512993387037, 0.3094290375203915, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21189364724984777, F1 trực tiếp=0.21189364724984777"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7466231647634584, 0.1345360824742268, 0.498567335243553, 0.7648129990194705, 0.2351870009805295, 0.21189364724984777, 0.6845017608457954, 0.2531810766721044, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20776014109347446, F1 trực tiếp=0.20776014109347443"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.706884176182708, 0.127406446030716, 0.562559694364852, 0.7174674324135033, 0.2825325675864967, 0.20776014109347446, 0.6958512993387037, 0.30166394779771616, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21192893401015231, F1 trực tiếp=0.21192893401015228"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7568678629690049, 0.1361043194784026, 0.4785100286532951, 0.7772797310547696, 0.22272026894523042, 0.2119289340101523, 0.6845017608457954, 0.2401957585644372, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21026102610261027, F1 trực tiếp=0.21026102610261027"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7137357259380098, 0.129547471162378, 0.5577841451766953, 0.7251715926600364, 0.27482840733996355, 0.21026102610261027, 0.6958512993387037, 0.29415986949429035, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21599820748375531, F1 trực tiếp=0.21599820748375531"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7716802610114193, 0.1411007025761124, 0.4603629417382999, 0.7945090348788346, 0.20549096512116544, 0.2159982074837553, 0.6845017608457954, 0.22290375203915172, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21006243114212267, F1 trực tiếp=0.21006243114212267"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7192822185970636, 0.13002955217094794, 0.5463228271251194, 0.7319652612410702, 0.2680347387589298, 0.21006243114212267, 0.6958512993387037, 0.287047308319739, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2227488151658768, F1 trực tiếp=0.22274881516587677"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7859706362153345, 0.14812480302552788, 0.448901623686724, 0.8106877713965541, 0.18931222860344585, 0.2227488151658768, 0.6845017608457954, 0.207047308319739, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21092137361606306, F1 trực tiếp=0.21092137361606306"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7256117455138662, 0.13124708080336292, 0.5367717287488061, 0.7394593080263342, 0.2605406919736658, 0.21092137361606306, 0.6958512993387037, 0.2794127243066884, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22695738354806738, F1 trực tiếp=0.22695738354806738"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7964110929853181, 0.15322850451656073, 0.437440305635148, 0.8227342765093151, 0.17726572349068498, 0.22695738354806738, 0.6845017608457954, 0.19504078303425776, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21117061973986226, F1 trực tiếp=0.21117061973986229"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7308972267536705, 0.13202583114087538, 0.5272206303724928, 0.7458327496848298, 0.2541672503151702, 0.21117061973986226, 0.6958512993387037, 0.27282218597063623, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22852799594628828, F1 trực tiếp=0.22852799594628831"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.801305057096248, 0.15551724137931033, 0.43075453677172876, 0.8284773777840033, 0.17152262221599665, 0.22852799594628828, 0.6845017608457954, 0.18923327895595432, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21308920919361121, F1 trực tiếp=0.21308920919361121"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.736378466557912, 0.13383900171274773, 0.5224450811843362, 0.7520661157024794, 0.24793388429752067, 0.2130892091936112, 0.6958512993387037, 0.2666884176182708, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22864864864864867, F1 trực tiếp=0.22864864864864864"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.813768352365416, 0.159442140972484, 0.4040114613180516, 0.8438156604566466, 0.15618433954335342, 0.22864864864864867, 0.6845017608457954, 0.173115823817292, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21311150722915428, F1 trực tiếp=0.21311150722915428"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7407504078303426, 0.1344327836081959, 0.5138490926456543, 0.7573889900546295, 0.2426110099453705, 0.21311150722915428, 0.6958512993387037, 0.26114192495921695, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22137404580152673, F1 trực tiếp=0.22137404580152673"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8269494290375204, 0.15981348028825773, 0.3600764087870105, 0.8611850399215576, 0.13881496007844235, 0.22137404580152673, 0.6845017608457954, 0.15393148450244698, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21461646869337625, F1 trực tiếp=0.21461646869337628"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7454486133768352, 0.13596938775510203, 0.5090735434574976, 0.7627819022272027, 0.23721809777279732, 0.21461646869337625, 0.6958512993387037, 0.25579119086460034, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22692425636307884, F1 trực tiếp=0.22692425636307881"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8354975530179445, 0.16711833785004518, 0.3533906399235912, 0.8708502591399355, 0.12914974086006442, 0.22692425636307884, 0.6845017608457954, 0.14446982055464927, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2153972153972154, F1 trực tiếp=0.2153972153972154"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7499510603588907, 0.13708626531144122, 0.5023877745940784, 0.7681047765793528, 0.23189522342064714, 0.2153972153972154, 0.6958512993387037, 0.25037520391517126, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.23459244532803181, F1 trực tiếp=0.23459244532803181"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8492659053833606, 0.1796042617960426, 0.33810888252148996, 0.886748844375963, 0.11325115562403698, 0.2345924453280318, 0.6845017608457954, 0.12861337683523655, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2151660747858784, F1 trực tiếp=0.21516607478587843"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7548450244698206, 0.13770053475935828, 0.4918815663801337, 0.7741280291357333, 0.2258719708642667, 0.2151660747858784, 0.6958512993387037, 0.24404567699836868, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.23901098901098902, F1 trực tiếp=0.23901098901098902"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8553996737357259, 0.1865951742627346, 0.332378223495702, 0.8937526264182659, 0.10624737358173414, 0.23901098901098902, 0.6845017608457954, 0.12169657422512235, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21574468085106382, F1 trực tiếp=0.21574468085106382"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7594779771615008, 0.1387900355871886, 0.48424068767908307, 0.7796610169491526, 0.22033898305084745, 0.21574468085106382, 0.6958512993387037, 0.23836867862969005, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24078803356439257, F1 trực tiếp=0.24078803356439255"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8642088091353997, 0.19480519480519481, 0.3151862464183381, 0.9044684129429892, 0.09553158705701079, 0.24078803356439257, 0.6845017608457954, 0.11053833605220229, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21581798483206932, F1 trực tiếp=0.21581798483206935"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7638499184339315, 0.13957399103139012, 0.47564469914040114, 0.7849838913013027, 0.2150161086986973, 0.21581798483206932, 0.6958512993387037, 0.23282218597063623, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24347158218125961, F1 trực tiếp=0.24347158218125961"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8714518760195759, 0.2035966602440591, 0.3027698185291309, 0.9131531026754447, 0.08684689732455526, 0.2434715821812596, 0.6845017608457954, 0.10159869494290376, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21718061674008809, F1 trực tiếp=0.21718061674008809"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7680913539967373, 0.14113942170054394, 0.4708691499522445, 0.7898865387309147, 0.2101134612690853, 0.2171806167400881, 0.6958512993387037, 0.22792822185970638, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24989858012170382, F1 trực tiếp=0.24989858012170385"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.879347471451876, 0.21720733427362482, 0.2941738299904489, 0.9222580193304384, 0.07774198066956156, 0.24989858012170382, 0.6845017608457954, 0.09252854812398043, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.21907968574635242, F1 trực tiếp=0.21907968574635242"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7729853181076672, 0.1431924882629108, 0.46609360076408785, 0.7954895643647569, 0.20451043563524304, 0.21907968574635242, 0.6958512993387037, 0.22238172920065252, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24850042844901457, F1 trực tiếp=0.24850042844901457"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8855464926590538, 0.22533022533022534, 0.276981852913085, 0.9301722930382407, 0.06982770696175936, 0.24850042844901457, 0.6845017608457954, 0.08398042414355628, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22069910897875256, F1 trực tiếp=0.22069910897875258"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7774225122349103, 0.14504504504504503, 0.46131805157593125, 0.800602325255638, 0.19939767474436196, 0.22069910897875256, 0.6958512993387037, 0.2172920065252855, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24279069767441863, F1 trực tiếp=0.2427906976744186"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.893768352365416, 0.23662737987307345, 0.2492836676217765, 0.9410281552038101, 0.05897184479618994, 0.24279069767441863, 0.6845017608457954, 0.07197389885807504, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22232536551404039, F1 trực tiếp=0.22232536551404039"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7813376835236542, 0.1468424279583078, 0.4574976122254059, 0.8050847457627118, 0.19491525423728814, 0.2223253655140404, 0.6958512993387037, 0.2128548123980424, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.24206930209858465, F1 trực tiếp=0.24206930209858468"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8986623164763459, 0.24750499001996007, 0.23686723973256923, 0.9471914834010365, 0.05280851659896344, 0.24206930209858465, 0.6845017608457954, 0.06538336052202284, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22295701464336323, F1 trực tiếp=0.22295701464336326"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7853181076672104, 0.14810166300596173, 0.45081184336198665, 0.8098473175514778, 0.1901526824485222, 0.22295701464336323, 0.6958512993387037, 0.20796084828711256, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2317198764160659, F1 trực tiếp=0.23171987641606592"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9026427406199021, 0.25139664804469275, 0.2148997134670487, 0.953074660316571, 0.04692533968342905, 0.2317198764160659, 0.6845017608457954, 0.058401305057096245, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22291616622627913, F1 trực tiếp=0.22291616622627913"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7889070146818923, 0.14890885750962773, 0.44317096466093603, 0.8142597002381285, 0.1857402997618714, 0.22291616622627913, 0.6958512993387037, 0.2033278955954323, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22734761120263589, F1 trực tiếp=0.22734761120263591"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.908189233278956, 0.26744186046511625, 0.1977077363896848, 0.9602885558201428, 0.03971144417985712, 0.22734761120263589, 0.6845017608457954, 0.050505709624796086, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22390613541921292, F1 trực tiếp=0.22390613541921289"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7928221859706363, 0.1504599211563732, 0.437440305635148, 0.8188821963860484, 0.18111780361395152, 0.22390613541921292, 0.6958512993387037, 0.19862969004893963, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22005730659025791, F1 trực tiếp=0.22005730659025788"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9111908646003263, 0.27507163323782235, 0.1833810888252149, 0.9645608628659477, 0.03543913713405239, 0.2200573065902579, 0.6845017608457954, 0.04554649265905383, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22420193021529328, F1 trực tiếp=0.22420193021529325"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7954323001631322, 0.15130260521042085, 0.4326647564469914, 0.8220338983050848, 0.17796610169491525, 0.22420193021529328, 0.6958512993387037, 0.19536704730831975, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.20818291215403129, F1 trực tiếp=0.20818291215403129"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9141272430668842, 0.2813008130081301, 0.16523400191021967, 0.9690432833730215, 0.03095671662697857, 0.20818291215403129, 0.6845017608457954, 0.04013050570962479, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22445898339204831, F1 trực tiếp=0.22445898339204831"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.7988907014681892, 0.15237444482405194, 0.4259789875835721, 0.8262361675304665, 0.17376383246953356, 0.2244589833920483, 0.6958512993387037, 0.19099510603588907, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.19899874843554446, F1 trực tiếp=0.19899874843554444"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9164763458401305, 0.2885662431941924, 0.1518624641833811, 0.9725451743941729, 0.027454825605827148, 0.19899874843554446, 0.6845017608457954, 0.03595432300163132, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22415557830092123, F1 trực tiếp=0.2241555783009212"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8021533442088091, 0.15309332401258302, 0.4183381088825215, 0.8302983611150021, 0.1697016388849979, 0.22415557830092123, 0.6958512993387037, 0.1866884176182708, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.1940874035989717, F1 trực tiếp=0.19408740359897173"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9181729200652529, 0.2966601178781925, 0.14422158548233047, 0.9749264602885558, 0.02507353971144418, 0.1940874035989717, 0.6845017608457954, 0.033213703099510605, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22424557752341312, F1 trực tiếp=0.22424557752341312"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8054159869494291, 0.15409367179120487, 0.41165234001910217, 0.8342905168791147, 0.16570948312088526, 0.22424557752341312, 0.6958512993387037, 0.18251223491027732, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.19291338582677164, F1 trực tiếp=0.19291338582677164"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9197389885807504, 0.3081761006289308, 0.14040114613180515, 0.9768875192604006, 0.023112480739599383, 0.19291338582677164, 0.6845017608457954, 0.031125611745513867, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22433359725521246, F1 trực tiếp=0.22433359725521246"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8082218597063622, 0.1549963530269876, 0.4059216809933142, 0.8377223700798431, 0.16227762992015687, 0.22433359725521246, 0.6958512993387037, 0.17892332789559542, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.17922606924643583, F1 trực tiếp=0.17922606924643583"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9211092985318108, 0.30985915492957744, 0.12607449856733524, 0.9794088807956296, 0.02059111920437036, 0.17922606924643583, 0.6845017608457954, 0.027797716150081565, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22477923468022479, F1 trực tiếp=0.22477923468022479"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8109624796084829, 0.15613382899628253, 0.40114613180515757, 0.8410141476397255, 0.15898585236027454, 0.2247792346802248, 0.6958512993387037, 0.17553017944535074, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.16979819067501739, F1 trực tiếp=0.16979819067501739"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9221533442088091, 0.3128205128205128, 0.11652340019102196, 0.9812298641266284, 0.018770135873371622, 0.1697981906750174, 0.6845017608457954, 0.025448613376835235, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22488429077048733, F1 trực tiếp=0.22488429077048733"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8142251223491028, 0.15727341964965727, 0.3944603629417383, 0.8450063034038381, 0.15499369659616194, 0.22488429077048733, 0.6958512993387037, 0.17135399673735727, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.16005767844268204, F1 trực tiếp=0.16005767844268204"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.9239804241435563, 0.3264705882352941, 0.10601719197707736, 0.9839613391231264, 0.01603866087687351, 0.16005767844268204, 0.6845017608457954, 0.022185970636215333, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.22542232068679038, F1 trực tiếp=0.22542232068679036"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.8174877650897227, 0.15873634945397816, 0.38872970391595035, 0.8489284213475277, 0.15107157865247234, 0.22542232068679038, 0.6958512993387037, 0.16730831973898858, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.15158204562178068, F1 trực tiếp=0.15158204562178071"
Toàn bộ metrics hữu hạn,PASS,"metrics=[0.924763458401305, 0.3301282051282051, 0.09837631327602674, 0.985362095531587, 0.014637904468412942, 0.15158204562178068, 0.6845017608457954, 0.02035889070146819, 0.06831973898858075]"
F1 theo hai công thức khớp nhau,PASS,"F1=0.2247191011235955, F1 trực tiếp=0.2247191011235955"
